ā	阿▲啊▲
pǐ	匹疋癖否▲劈▲
pì	譬闢▲僻媲屁
piān	扁▲偏篇翩片▲
pián	便▲
piàn	騙片▲
piāo	飄漂▲
piáo	瓢朴▲
piǎo	漂▲
piào	票漂▲
piē	瞥撇▲
piě	撇▲
pīn	拼
pín	貧頻蘋▲
pǐn	品
pìn	聘
pīng	乒
píng	平評坪萍蘋▲屏▲瓶馮▲憑
pō	坡頗泊▲潑朴▲
pó	婆鄱繁▲
pǒ	叵
pò	破魄迫▲珀朴▲
pōu	剖
póu	掊▲
pǒu	掊▲
pū	鋪▲撲仆
pú	葡脯蒲僕璞菩
pǔ	普譜圃浦樸埔▲
pù	鋪▲瀑曝▲堡▲
qī	期欺妻淒棲悽七柒戚慼嘁漆沏
qí	其棋旗麒歧岐祈鰭奇▲騎琦崎齊臍薺▲畦祇▲
qǐ	起杞豈乞企啟綺稽▲
qì	氣汽器棄砌契▲泣憩葺迄訖
qiā	掐
qiǎ	卡▲
qià	洽恰
qiān	千牽簽謙鉛▲籤慳遷
qián	前錢潛乾黔虔鉗
qiǎn	淺遣譴
qiàn	欠歉嵌▲縴
qiāng	槍腔將▲鏘嗆▲
qiáng	強▲牆
qiǎng	搶強▲
qiàng	蹌嗆▲
qiāo	敲悄▲蹺雀▲鍬
qiáo	喬僑橋蕎瞧憔翹▲
qiǎo	巧悄▲雀▲
qiào	翹▲峭俏竅殼▲撬
qiē	切▲
qié	茄▲伽▲
qiě	且
qiè	怯切▲竊愜鍥
qīn	親▲侵欽
qín	芹勤琴秦禽擒
qǐn	寢
qìn	沁
qīng	青清蜻輕卿氫傾
qíng	情晴擎
qǐng	請頃
qìng	慶罄親▲
qióng	穹窮瓊
qiū	秋鞦丘邱蚯龜▲
qiú	求球囚酋仇▲
qū	區▲軀驅嶇趨曲▲屈蛆
qú	渠
qǔ	取娶曲▲
qù	去趣
quān	圈▲
quán	全痊荃銓詮泉拳權
quǎn	犬
quàn	券▲勸
quē	缺
qué	瘸
què	確卻雀▲鵲
qún	群裙
rán	然燃
rǎn	染
rāng	嚷▲
ráng	瓤
rǎng	壤嚷▲攘
ràng	讓
ráo	饒
rǎo	擾
rào	繞
rě	惹
rè	熱
rén	人仁任▲
rěn	忍
rèn	任▲飪認刃韌紉
rēng	扔
réng	仍
rì	日
róng	容溶熔蓉鎔榕榮絨融茸
rǒng	冗
róu	柔揉蹂糅
ròu	肉
rú	如茹儒濡蠕
rǔ	乳汝辱
rù	入褥
ruǎn	軟
ruǐ	蕊
ruì	銳瑞睿
rùn	閏潤
ruò	若偌弱
sā	撒▲
sǎ	灑撒▲
sà	薩颯
sāi	鰓腮塞▲
sài	賽塞▲
sān	三叁
sǎn	散▲傘
sàn	散▲
sāng	桑喪▲
sǎng	嗓
sàng	喪▲
sāo	騷搔臊▲
sǎo	嫂掃▲
sào	掃▲臊▲
sè	色▲塞▲嗇瑟澀
sēn	森
sēng	僧
shā	沙莎鯊砂紗殺剎▲煞▲杉▲
shá	啥
shǎ	傻
shà	廈▲霎煞▲
shāi	篩
shǎi	色▲
shài	曬
shān	山舢衫刪柵▲珊姍扇▲煽杉▲苫▲
shǎn	閃陝摻▲
shàn	扇▲善膳繕汕訕擅贍單▲禪▲苫▲
shāng	商傷
shǎng	賞上▲晌
shàng	上▲尚
shang	裳▲
shāo	燒稍▲梢捎▲
sháo	勺芍
shǎo	少▲
shào	少▲紹哨稍▲捎▲
shē	奢賒
shé	蛇舌折▲
shě	捨
shè	社射舍攝懾設涉赦
shéi	誰▲
shēn	深身申伸紳呻參▲
shén	神甚▲
shěn	審嬸瀋沈▲
shèn	慎腎滲甚▲
shēng	升昇生牲笙甥聲
shéng	繩
shěng	省▲
shèng	勝聖盛▲乘▲剩
shī	師獅施詩屍失濕虱
shí	十什時拾食▲石▲蝕實識▲
shǐ	史駛使矢始屎
shì	是事試市柿世似▲視示士勢誓恃侍嗜噬逝釋式拭飾適室氏
shi	匙▲殖▲
shōu	收
shóu	熟▲
shǒu	手守首
shòu	受授狩獸瘦壽售
shū	書舒輸抒紓樞梳疏蔬殊叔淑倏
shú	孰熟▲塾贖秫
shǔ	數▲鼠暑署曙薯黍蜀屬▲
shù	數▲樹漱恕墅術述束豎庶
shuā	刷▲
shuǎ	耍
shuà	刷▲
shuāi	衰摔
shuǎi	甩
shuài	帥率▲蟀
shuān	拴栓
shuàn	涮
shuāng	雙霜孀
shuǎng	爽
shuí	誰▲
shuǐ	水
shuì	睡稅說▲
shǔn	吮
shùn	順舜瞬
shuō	說▲
shuò	朔爍碩數▲
sī	思司私絲斯撕廝嘶
sǐ	死
sì	四似▲伺▲飼嗣寺肆祀食▲
sōng	忪松鬆淞
sǒng	聳慫悚
sòng	送頌宋誦訟
sōu	搜艘餿
sǒu	叟
sòu	嗽
sū	酥穌蘇甦
sú	俗
sù	訴素塑溯速肅粟宿▲縮▲
suān	酸
suàn	算蒜
suī	雖尿▲
suí	隨綏隋遂▲
suǐ	髓
suì	歲碎穂遂▲隧邃祟
sūn	孫
sǔn	損筍
suō	縮▲梭唆嗦
suǒ	所鎖瑣索
tā	他她它牠塌踏▲
tǎ	塔
tà	沓▲踏▲榻拓▲蹋
tāi	台▲胎苔▲
tái	台▲枱苔▲颱抬臺
tài	太汰態泰
tān	坍貪攤灘癱
tán	談痰潭譚彈▲壇檀曇
tǎn	坦毯忐袒
tàn	探炭碳嘆
tāng	湯趟▲
táng	唐塘糖搪堂棠膛
tǎng	倘躺淌
tàng	燙趟▲
tāo	滔掏濤叨▲
táo	桃逃淘陶萄
tǎo	討
tào	套
tè	特忑
téng	騰謄疼藤
tī	梯踢剔
tí	提▲題啼蹄
tǐ	體
tì	涕剃替屜惕嚏
tiān	天添
tián	田填甜恬
tiǎn	腆舔
tiāo	挑▲佻
tiáo	條調▲笤
tiǎo	挑▲
tiào	跳眺
tiē	貼帖▲
tiě	帖▲鐵
tiè	帖▲
tīng	聽廳
tíng	亭停廷庭蜓霆
tǐng	艇挺
tōng	通▲
tóng	同▲銅桐童潼瞳彤
tǒng	統筒桶捅
tòng	同▲痛通▲
tōu	偷
tóu	頭投骰
tòu	透
tū	突凸禿
tú	途塗荼徒屠圖
tǔ	土吐▲
tù	吐▲兔
tuān	湍
tuán	團
tuī	推
tuí	頹
tuǐ	腿
tuì	退褪▲蛻
tūn	吞
tún	屯飩囤▲豚臀
tùn	褪▲
tuō	拖脫托託
tuó	陀駝鴕馱▲
tuǒ	妥橢
tuò	唾拓▲
wā	蛙哇窪挖
wá	娃
wǎ	瓦▲
wà	襪瓦▲
wa	哇
wāi	歪
wǎi	崴▲
wài	外
wān	彎灣蜿豌
wán	完玩頑丸
wǎn	晚挽宛碗婉惋
wàn	萬腕蔓▲
wāng	汪
wáng	王亡
wǎng	往枉罔網惘
wàng	忘妄望旺
wēi	危威微薇巍偎煨崴▲
wéi	韋圍違為▲維惟唯帷桅
wěi	偉葦緯委萎尾▲偽
wèi	位衛未味畏喂餵胃渭謂猬尉▲慰蔚▲魏為▲
wēn	溫瘟
wén	文蚊紋聞
wěn	穩吻紊
wèn	問
wēng	翁嗡
wèng	瓮
wō	窩蝸渦▲倭喔
wǒ	我
wò	臥握幄沃斡
wū	汙烏▲嗚誣屋巫
wú	無蕪吾梧吳蜈毋
wǔ	武鵡五伍午忤舞嫵侮捂
wù	誤務悟晤霧惡▲戊勿物鶩烏▲塢
xī	希稀唏烯熙溪蹊西嬉嘻昔惜息熄析晰蜥悉蟋錫夕汐吸膝犧曦犀
xí	習席襲媳
xǐ	喜洗▲徙禧銑▲
xì	細系係繫▲戲▲隙
xiā	蝦▲瞎呷
xiá	霞暇瑕遐俠峽狹轄匣
xià	下夏廈▲嚇▲
xiān	先鮮▲仙掀鍁纖暹
xián	閑嫺賢弦絃舷嫌咸鹹銜啣涎
xiǎn	顯險鮮▲蜆洗▲銑▲
xiàn	現限線腺羨憲獻陷餡縣
xiāng	香鄉相▲湘箱廂襄鑲
xiáng	詳祥翔降▲
xiǎng	想享響餉
xiàng	向嚮象像橡相▲項巷▲
xiāo	肖▲消銷削▲宵逍硝蕭瀟簫囂
xiáo	淆
xiǎo	小曉
xiào	笑孝哮校▲效傚嘯肖▲
xiē	些歇楔蝎
xié	鞋斜諧攜協脅挾擷邪▲叶
xiě	寫血▲
xiè	謝瀉卸械解▲蟹懈邂洩屑褻契▲
xīn	新薪心芯▲辛鋅欣馨
xìn	信芯▲釁
xīng	星惺腥猩興▲
xíng	形刑邢型行▲
xǐng	醒省▲
xìng	杏姓性幸倖興▲
xiōng	兄凶兇匈洶胸
xióng	雄熊
xiū	修羞休
xiǔ	朽宿▲
xiù	秀繡鏽嗅袖臭▲宿▲
xū	需須虛墟噓鬚吁
xú	徐
xǔ	許栩
