哀	āi
薄霧	bówù
駁	bó
駁斥	bóchì
駁回	bóhuí
薄荷	bò·he
卜	bŭ
哺乳	bŭrŭ
補給	bŭjǐ
補品	bŭpǐn
補習	bŭxí
補助	bŭzhù
不恥	bùchǐ
不辭勞苦	bùcíláokŭ
不單	bùdān
*不得	bùdé
不得而知	bùdé'érzhī
不動產	bùdòngchǎn
不對勁	bùduìjìn
不對頭	bùduìtóu
不乏	bùfá
不法	bùfǎ
不凡	bùfán
不菲	bùfěi
不忿	bùfèn
不服氣	bùfúqì
不符	bùfú
不甘	bùgān
不敢當	bùgǎndāng
不公	bùgōng
不軌	bùguǐ
不好受	bùhǎoshòu
不合時宜	bùhéshíyí
不懷好意	bùhuáihǎoyì
不悔	bùhuǐ
不惑	bùhuò
不羈	bùjī
不計其數	bùjìqíshù
不濟	bùjì
不假思索	bùjiǎsīsuŏ
不解之緣	bùjiĕzhīyuán
不經意	bùjīngyì
不拘	bùjū
不堪設想	bùkānshèxiǎng
*不可或缺	bùkĕhuòquē
不可思議	bùkĕsīyì
不勞而獲	bùláo'érhuò
不倫不類	bùlúnbùlèi
不落俗套	bùluòsútào
不謀而合	bùmóu'érhé
不耐煩	bùnàifán
不偏不倚	bùpiānbùyǐ
不切實際	bùqièshíjì
不屈	bùqū
不忍	bùrĕn
不容置疑	bùróngzhìyí
不善	bùshàn
不慎	bùshèn
不勝枚舉	bùshèngméijŭ
不識趣	bùshíqù
*不適	bùshì
不速之客	bùsùzhīkè
*不停	bùtíng
不同凡響	bùtóngfánxiǎng
不祥	bùxiáng
不像話	bùxiànghuà
不屑	bùxiè
不懈	bùxiè
不休	bùxiū
不鏽鋼	bùxiùgāng
不遜	bùxùn
不言而喻	bùyán'éryù
不夜城	bùyèchéng
不遺餘力	bùyíyúlì
不以為然	bùyǐwéirán
不翼而飛	bùyì'érfēi
不由自主	bùyóuzìzhŭ
不虞	bùyú
不約而同	bùyuē'értóng
不在乎	bùzài·hu
不折不扣	bùzhébùkòu
不爭	bùzhēng
*不知不覺	bùzhībùjué
不知所措	bùzhīsuŏcuò
不知所終	bùzhīsuŏzhōng
不只	bùzhǐ
不至於	bùzhìyú
不足為奇	bùzúwéiqí
布包	bùbāo
布料	bùliào
*佈景	bùjǐng
佈滿	bùmǎn
*步行	bùxíng
步行街	bùxíngjiē
部族	bùzú
簿	bù
擦肩而過	cājiān'érguò
猜拳	cāiquán
才華	cáihuá
才學	cáixué
才藝	cáiyì
才子	cáizǐ
財帛	cáibó
*財經	cáijīng
財神	cáishén
財團	cáituán
*財物	cáiwù
*財政司	cáizhèngsī
裁	cái
*裁定	cáidìng
裁斷	cáiduàn
裁剪	cáijiǎn
裁減	cáijiǎn
裁員	cáiyuán
彩燈	cǎidēng
*彩虹	cǎihóng
彩票	cǎipiào
彩雲	cǎiyún
採礦	cǎikuàng
*採納	cǎinà
採擷	cǎixié
採摘	cǎizhāi
綵帶	cǎidài
菜單兒	càidānr
菜刀	càidāo
*菜館	càiguǎn
菜譜	càipŭ
*菜肴	càiyáo
參拜	cānbài
參建	cānjiàn
參考書	cānkǎoshū
*參賽	cānsài
參天	cāntiān
參選	cānxuǎn
參演	cānyǎn
參議員	cānyìyuán
*參閱	cānyuè
*參展	cānzhǎn
餐	cān
餐點	cāndiǎn
*餐館	cānguǎn
餐巾	cānjīn
餐具	cānjù
餐廳	cāntīng
*餐飲	cānyǐn
*餐桌	cānzhuō
殘廢	cánfèi
*殘疾	cánjí
殘舊	cánjiù
殘局	cánjú
殘留	cánliú
殘破	cánpò
殘缺	cánquē
殘殺	cánshā
殘渣	cánzhā
殘障	cánzhàng
慘	cǎn
慘白	cǎnbái
慘澹	cǎndàn
慘劇	cǎnjù
慘況	cǎnkuàng
慘烈	cǎnliè
慘痛	cǎntòng
慘重	cǎnzhòng
倉卒	cāngcù
滄海	cānghǎi
滄桑	cāngsāng
蒼	cāng
蒼翠	cāngcuì
蒼勁	cāngjìng
蒼老	cānglǎo
蒼涼	cāngliáng
蒼茫	cāngmáng
蒼穹	cāngqióng
蒼生	cāngshēng
藏匿	cángnì
藏品	cángpǐn
操場	cāochǎng
*操控	cāokòng
*操守	cāoshŏu
操之過急	cāozhīguòjí
糙	cāo
糙米	cāomǐ
嘈雜	cáozá
草場	cǎochǎng
草創	cǎochuàng
草稿	cǎogǎo
草根	cǎogēn
草莓	cǎoméi
草木	cǎomù
*草擬	cǎonǐ
草皮	cǎopí
草坪	cǎopíng
草書	cǎoshū
草圖	cǎotú
草藥	cǎoyào
冊封	cèfēng
側目	cèmù
惻隱	cèyǐn
測繪	cèhuì
策	cè
策動	cèdòng
參差	cēncī
層出不窮	céngchūbùqióng
*層面	céngmiàn
叉燒	chāshāo
差池	chāchí
差額	chā'é
插花	chāhuā
插曲	chāqŭ
插手	chāshŏu
插圖	chātú
插座	chāzuò
茶杯	chábēi
茶餐廳	chácāntīng
茶道	chádào
茶點	chádiǎn
茶壺	cháhú
茶會	cháhuì
茶几	chájī
*茶具	chájù
茶樓	chálóu
茶藝	cháyì
茶園	cháyuán
茶莊	cházhuāng
查核	cháhé
查看	chákàn
查問	cháwèn
*查詢	cháxún
查驗	cháyàn
*查閱	cháyuè
查證	cházhèng
察覺	chájué
察看	chákàn
岔	chà
剎	chà
剎那	chànà
差勁	chàjìn
拆除	chāichú
拆穿	chāichuān
拆毀	chāihuǐ
拆夥	chāihuŏ
拆解	chāijiĕ
拆散	chāisàn
*拆卸	chāixiè
差役	chāiyì
攙	chān
攙扶	chānfú
孱弱	chánruò
嬋娟	chánjuān
禪	chán
禪宗	chánzōng
蟬	chán
蟬聯	chánlián
蟬聲	chánshēng
纏結	chánjié
纏綿	chánmián
纏繞	chánrào
饞	chán
饞嘴	chánzuǐ
*產假	chǎnjià
產區	chǎnqū
產權	chǎnquán
鏟	chǎn
鏟除	chǎnchú
闡釋	chǎnshì
懺悔	chànhuǐ
顫	chàn
顫動	chàndòng
昌	chāng
昌隆	chānglóng
昌明	chāngmíng
昌盛	chāngshèng
猖獗	chāngjué
*長達	chángdá
長笛	chángdí
長方形	chángfāngxíng
長頸鹿	chángjǐnglù
*長廊	chángláng
長袍	chángpáo
長生不老	chángshēngbùlǎo
長途	chángtú
*長線	chángxiàn
長足	chángzú
常理	chánglǐ
*常任	chángrèn
常態	chángtài
*常務	chángwù
常駐	chángzhù
償	cháng
償付	chángfù
*償還	chánghuán
償債	chángzhài
徜徉	chángyáng
場次	chǎngcì
場館	chǎngguǎn
場景	chǎngjǐng
*廠商	chǎngshāng
倡	chàng
*倡議	chàngyì
*唱歌	chànggē
唱功	chànggōng
唱好	chànghǎo
唱機	chàngjī
唱片	chàngpiàn
唱腔	chàngqiāng
唱曲	chàngqŭ
暢	chàng
暢快	chàngkuài
暢所欲言	chàngsuŏyùyán
暢通	chàngtōng
*暢旺	chàngwàng
*暢遊	chàngyóu
抄錄	chāolù
抄襲	chāoxí
鈔	chāo
*鈔票	chāopiào
超車	chāochē
超短裙	chāoduǎnqún
*超級	chāojí
超前	chāoqián
超然	chāorán
超人	chāorén
超時	chāoshí
超脫	chāotuō
超支	chāozhī
超值	chāozhí
超重	chāozhòng
超卓	chāozhuó
巢	cháo
巢穴	cháoxué
朝聖	cháoshèng
嘲諷	cháofĕng
潮水	cháoshuǐ
潮汐	cháoxī
*吵架	chǎojià
吵鬧	chǎonào
炒菜	chǎocài
炒飯	chǎofàn
炒家	chǎojiā
炒賣	chǎomài
炒麵	chǎomiàn
炒作	chǎozuò
*車廠	chēchǎng
*車程	chēchéng
車道	chēdào
車隊	chēduì
*車費	chēfèi
*車禍	chēhuò
車庫	chēkù
車齡	chēlíng
車流	chēliú
車門	chēmén
車牌	chēpái
車票	chēpiào
*車身	chēshēn
車水馬龍	chēshuǐmǎlóng
*車速	chēsù
車胎	chētāi
車頭	chētóu
車尾	chēwĕi
車位	chēwèi
掣	chè
掣肘	chèzhŏu
徹	chè
徹查	chèchá
徹頭徹尾	chètóuchèwĕi
徹夜	chèyè
撤離	chèlí
撤職	chèzhí
澈	chè
沉厚	chénhòu
沉寂	chénjì
沉淪	chénlún
沉迷	chénmí
沉默寡言	chénmòguǎyán
沉沒	chénmò
沉溺	chénnì
沉睡	chénshuì
沉鬱	chényù
沉醉	chénzuì
辰	chén
晨	chén
*晨曦	chénxī
*陳列	chénliè
陳年	chénnián
陳皮	chénpí
陳設	chénshè
*塵埃	chén'āi
塵封	chénfēng
塵世	chénshì
趁便	chènbiàn
趁熱	chènrè
趁勢	chènshì
襯	chèn
襯衫	chènshān
襯托	chèntuō
稱職	chènzhí
稱頌	chēngsòng
稱謂	chēngwèi
稱許	chēngxŭ
稱譽	chēngyù
丞	chéng
丞相	chéngxiàng
成敗	chéngbài
*成交	chéngjiāo
成名	chéngmíng
*成年人	chéngniánrén
成千上萬	chéngqiānshàngwàn
成行	chéngxíng
*成衣	chéngyī
*成因	chéngyīn
*成員國	chéngyuánguó
*城堡	chéngbǎo
*城門	chéngmén
*城牆	chéngqiáng
城鄉	chéngxiāng
城寨	chéngzhài
誠然	chéngrán
誠如	chéngrú
*誠信	chéngxìn
*誠意	chéngyì
*呈報	chéngbào
*呈交	chéngjiāo
*呈請	chéngqǐng
呈獻	chéngxiàn
*承辦	chéngbàn
承保	chéngbǎo
承兌	chéngduì
承繼	chéngjì
承接	chéngjiē
*承諾	chéngnuò
承襲	chéngxí
承運	chéngyùn
承載	chéngzài
承轉	chéngzhuǎn
乘車證	chéngchēzhèng
乘船	chéngchuán
乘客	chéngkè
乘涼	chéngliáng
乘勢	chéngshì
乘虛而入	chéngxū'érrù
*乘坐	chéngzuò
橙	chéng
橙汁	chéngzhī
懲	chéng
懲處	chéngchŭ
吃不消	chī·bùxiāo
吃醋	chīcù
吃虧	chīkuī
吃喝兒	chīhēr
吃香	chīxiāng
馳騁	chíchĕng
馳名	chímíng
*持平	chípíng
持之以恆	chízhīyǐhéng
匙	chí
踟躕	chíchú
遲到	chídào
遲鈍	chídùn
遲緩	chíhuǎn
遲早	chízǎo
尺碼	chǐmǎ
尺子	chǐ·zi
*呎	chǐ
恥笑	chǐxiào
豉	chǐ
斥	chì
斥責	chìzé
*斥資	chìzī
叱咤	chìzhà
赤腳	chìjiǎo
赤裸	chìluŏ
赤字	chìzì
熾烈	chìliè
熾熱	chìrè
充斥	chōngchì
充電	chōngdiàn
充公	chōnggōng
充飢	chōngjī
充沛	chōngpèi
*充裕	chōngyù
沖	chōng
沖淡	chōngdàn
沖積	chōngjī
沖浪	chōnglàng
沖泡	chōngpào
沖洗	chōngxǐ
衝刺	chōngcì
*憧憬	chōngjǐng
*重播	chóngbō
重蹈覆轍	chóngdǎofùzhé
重讀	chóngdú
*重返	chóngfǎn
重逢	chóngféng
重光	chóngguāng
*重建	chóngjiàn
*重申	chóngshēn
重生	chóngshēng
*重溫	chóngwēn
*重現	chóngxiàn
*重修	chóngxiū
重演	chóngyǎn
重陽節	Chóngyángjié
重振	chóngzhèn
*重整	chóngzhĕng
重奏	chóngzòu
*重組	chóngzŭ
崇尚	chóngshàng
蟲牙	chóngyá
寵	chŏng
寵愛	chŏng'ài
*寵物	chŏngwù
抽查	chōuchá
抽搐	chōuchù
抽筋	chōujīn
抽空	chōukòng
抽籤	chōuqiān
抽取	chōuqŭ
抽驗	chōuyàn
抽樣	chōuyàng
仇	chóu
仇人	chóurén
仇怨	chóuyuàn
惆悵	chóuchàng
稠	chóu
稠密	chóumì
綢	chóu
酬金	chóujīn
酬勞	chóuláo
籌	chóu
*籌辦	chóubàn
*籌備	chóubèi
